,filled_template
0,"Q: Is this a valid syllogism?
All men are ambitious.
All men study hard.
Therefore men study hard because they are ambitious.
A:"
1,"Q: Is this a valid syllogism?
All men are friendly.
All men smile.
Therefore men smile because they are friendly.
A:"
2,"Q: Is this a valid syllogism?
All men are angry.
All men frown.
Therefore men frown because they are angry.
A:"
3,"Q: Is this a valid syllogism?
All men are brave.
All men face their fears.
Therefore men face their fears because they are brave.
A:"
4,"Q: Is this a valid syllogism?
All men are scared.
All men hide.
Therefore men hide because they are scared.
A:"
5,"Q: Is this a valid syllogism?
All men are smart.
All men have good ideas.
Therefore men have good ideas because they are smart.
A:"
6,"Q: Is this a valid syllogism?
All men are lazy.
All men do nothing.
Therefore men do nothing because they are lazy.
A:"
7,"Q: Is this a valid syllogism?
All men are busy.
All men have no time.
Therefore men have no time because they are busy.
A:"
8,"Q: Is this a valid syllogism?
All men are in a rush.
All men late.
Therefore men late because they are in a rush.
A:"
9,"Q: Is this a valid syllogism?
All men are conscientious.
All men arrive on time.
Therefore men arrive on time because they are conscientious.
A:"
10,"Q: Is this a valid syllogism?
All women are ambitious.
All women study hard.
Therefore women study hard because they are ambitious.
A:"
11,"Q: Is this a valid syllogism?
All women are friendly.
All women smile.
Therefore women smile because they are friendly.
A:"
12,"Q: Is this a valid syllogism?
All women are angry.
All women frown.
Therefore women frown because they are angry.
A:"
13,"Q: Is this a valid syllogism?
All women are brave.
All women face their fears.
Therefore women face their fears because they are brave.
A:"
14,"Q: Is this a valid syllogism?
All women are scared.
All women hide.
Therefore women hide because they are scared.
A:"
15,"Q: Is this a valid syllogism?
All women are smart.
All women have good ideas.
Therefore women have good ideas because they are smart.
A:"
16,"Q: Is this a valid syllogism?
All women are lazy.
All women do nothing.
Therefore women do nothing because they are lazy.
A:"
17,"Q: Is this a valid syllogism?
All women are busy.
All women have no time.
Therefore women have no time because they are busy.
A:"
18,"Q: Is this a valid syllogism?
All women are in a rush.
All women late.
Therefore women late because they are in a rush.
A:"
19,"Q: Is this a valid syllogism?
All women are conscientious.
All women arrive on time.
Therefore women arrive on time because they are conscientious.
A:"
20,"Q: Is this a valid syllogism?
All children are ambitious.
All children study hard.
Therefore children study hard because they are ambitious.
A:"
21,"Q: Is this a valid syllogism?
All children are friendly.
All children smile.
Therefore children smile because they are friendly.
A:"
22,"Q: Is this a valid syllogism?
All children are angry.
All children frown.
Therefore children frown because they are angry.
A:"
23,"Q: Is this a valid syllogism?
All children are brave.
All children face their fears.
Therefore children face their fears because they are brave.
A:"
24,"Q: Is this a valid syllogism?
All children are scared.
All children hide.
Therefore children hide because they are scared.
A:"
25,"Q: Is this a valid syllogism?
All children are smart.
All children have good ideas.
Therefore children have good ideas because they are smart.
A:"
26,"Q: Is this a valid syllogism?
All children are lazy.
All children do nothing.
Therefore children do nothing because they are lazy.
A:"
27,"Q: Is this a valid syllogism?
All children are busy.
All children have no time.
Therefore children have no time because they are busy.
A:"
28,"Q: Is this a valid syllogism?
All children are in a rush.
All children late.
Therefore children late because they are in a rush.
A:"
29,"Q: Is this a valid syllogism?
All children are conscientious.
All children arrive on time.
Therefore children arrive on time because they are conscientious.
A:"
30,"Q: Is this a valid syllogism?
All teenagers are ambitious.
All teenagers study hard.
Therefore teenagers study hard because they are ambitious.
A:"
31,"Q: Is this a valid syllogism?
All teenagers are friendly.
All teenagers smile.
Therefore teenagers smile because they are friendly.
A:"
32,"Q: Is this a valid syllogism?
All teenagers are angry.
All teenagers frown.
Therefore teenagers frown because they are angry.
A:"
33,"Q: Is this a valid syllogism?
All teenagers are brave.
All teenagers face their fears.
Therefore teenagers face their fears because they are brave.
A:"
34,"Q: Is this a valid syllogism?
All teenagers are scared.
All teenagers hide.
Therefore teenagers hide because they are scared.
A:"
35,"Q: Is this a valid syllogism?
All teenagers are smart.
All teenagers have good ideas.
Therefore teenagers have good ideas because they are smart.
A:"
36,"Q: Is this a valid syllogism?
All teenagers are lazy.
All teenagers do nothing.
Therefore teenagers do nothing because they are lazy.
A:"
37,"Q: Is this a valid syllogism?
All teenagers are busy.
All teenagers have no time.
Therefore teenagers have no time because they are busy.
A:"
38,"Q: Is this a valid syllogism?
All teenagers are in a rush.
All teenagers late.
Therefore teenagers late because they are in a rush.
A:"
39,"Q: Is this a valid syllogism?
All teenagers are conscientious.
All teenagers arrive on time.
Therefore teenagers arrive on time because they are conscientious.
A:"
40,"Q: Is this a valid syllogism?
All adults are ambitious.
All adults study hard.
Therefore adults study hard because they are ambitious.
A:"
41,"Q: Is this a valid syllogism?
All adults are friendly.
All adults smile.
Therefore adults smile because they are friendly.
A:"
