index,loss
0,1
1,1
2,1
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,1
12,0
13,0
14,0
15,1
16,1
17,0
18,0
19,1
20,0
21,1
22,0
23,0
24,0
25,1
26,1
27,0
28,1
29,0
30,0
31,0
32,1
33,0
34,1
35,0
36,0
37,0
38,0
39,1
40,1
41,0
42,0
43,1
44,0
45,0
46,0
47,1
48,0
49,0
50,0
51,0
52,1
53,0
54,1
55,0
56,0
57,1
58,1
59,1
60,1
61,1
62,1
63,0
64,1
65,0
66,0
67,0
68,0
69,0
70,1
71,1
72,0
73,0
74,1
75,1
76,1
77,1
78,1
79,1
80,0
81,0
82,0
83,1
84,0
85,1
86,1
87,0
88,0
89,0
90,1
91,0
92,0
93,0
94,0
95,0
96,0
97,1
98,1
99,0
100,1
101,0
102,0
103,0
104,1
105,0
106,0
107,0
108,1
109,0
110,0
111,0
112,1
113,0
114,1
115,0
116,1
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,1
125,0
126,1
127,0
128,0
129,1
130,0
131,1
132,0
133,0
134,0
135,0
136,0
137,0
138,1
139,0
140,0
141,1
142,1
143,1
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,1
153,0
154,0
155,0
156,1
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,1
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,1
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,1
185,0
186,0
187,1
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,1
196,0
197,1
198,0
199,0
200,0
201,0
202,0
203,1
204,0
205,0
206,0
207,1
208,1
209,0
210,1
211,0
212,0
213,1
214,0
215,1
216,0
217,1
218,1
219,0
220,1
221,1
222,1
223,0
224,1
225,1
226,0
227,1
228,0
229,0
230,0
231,0
232,1
233,0
234,0
235,1
236,0
237,0
238,1
239,0
240,1
241,0
242,0
243,1
244,0
245,0
246,0
247,0
248,0
249,1
250,0
251,1
252,0
253,1
254,0
255,0
256,0
257,1
258,1
259,0
260,0
261,1
262,0
263,0
264,0
265,0
266,0
267,1
268,0
269,0
270,0
271,0
272,1
273,1
274,1
275,0
276,0
277,0
278,1
279,0
280,1
281,0
282,0
283,0
284,1
285,0
286,1
287,0
288,0
289,0
290,0
291,1
292,0
293,1
294,0
295,0
296,0
297,1
298,1
299,0
300,1
301,0
302,0
303,1
304,0
305,1
306,0
307,0
308,0
309,0
310,0
311,0
312,1
313,0
314,0
315,1
316,0
317,1
318,1
319,1
320,1
321,0
322,0
323,0
324,1
325,0
326,0
327,0
328,1
329,1
330,1
331,0
332,0
333,0
334,1
335,1
336,0
337,0
338,0
339,0
340,1
341,0
342,0
343,1
344,0
345,1
346,0
347,0
348,0
349,0
350,1
351,0
352,0
353,0
354,0
355,1
356,1
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,1
370,0
371,0
372,1
373,0
374,0
375,1
376,0
377,0
378,1
379,1
380,1
381,0
382,1
383,1
384,0
385,1
386,0
387,0
388,1
389,0
390,0
391,1
392,1
393,0
394,1
395,0
396,1
397,1
398,0
399,0
400,0
401,1
402,0
403,0
404,1
405,0
406,1
407,0
408,0
409,0
410,0
411,1
412,0
413,1
414,0
415,0
416,0
417,0
418,0
419,1
420,1
421,1
422,1
423,0
424,1
425,1
426,0
427,1
428,1
429,0
430,1
431,1
432,1
433,1
434,1
435,0
436,0
437,1
438,0
439,1
440,1
441,0
442,0
443,1
444,1
445,0
446,0
447,0
448,0
449,1
450,0
451,0
452,0
453,0
454,1
455,0
456,0
457,0
458,1
459,1
460,1
461,0
462,1
463,1
464,0
465,0
466,1
467,0
468,1
469,1
470,0
471,0
472,1
473,0
474,0
475,0
476,0
477,1
478,0
479,0
480,0
481,0
482,1
483,0
484,0
485,0
486,0
487,0
488,1
489,0
490,1
491,1
492,1
493,0
494,1
495,0
496,0
497,0
498,1
499,0
500,0
501,0
502,1
503,1
504,0
505,0
506,0
507,1
508,0
509,0
510,1
511,1
512,1
513,1
514,1
515,0
516,0
517,1
518,0
519,0
520,1
521,1
522,0
523,1
524,0
525,1
526,0
527,0
528,1
529,0
530,0
531,1
532,1
533,1
534,0
535,0
536,0
537,1
538,1
539,0
540,1
541,1
542,1
543,1
544,1
545,0
546,1
547,0
548,0
549,0
550,1
551,0
552,1
553,0
554,0
555,1
556,0
557,0
558,0
559,0
560,1
561,0
562,0
563,0
564,1
565,0
566,0
567,1
568,0
569,1
570,0
571,1
572,0
573,0
574,1
575,0
576,0
577,0
578,1
579,0
580,1
581,0
582,0
583,1
584,0
585,1
586,1
587,0
588,1
589,0
590,0
591,0
592,0
593,1
594,0
595,1
596,1
597,0
598,1
599,0
600,0
601,0
602,1
603,0
604,1
605,1
606,0
607,0
608,0
609,0
610,0
611,1
612,0
613,0
614,0
615,1
616,0
617,0
618,1
619,1
620,0
621,0
622,0
623,1
624,0
625,1
626,0
627,0
628,1
629,1
630,1
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,1
641,0
642,0
643,0
644,0
645,0
646,1
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,1
656,0
657,1
658,0
659,0
660,0
661,0
662,1
663,0
664,0
665,0
666,1
667,0
668,0
669,0
670,0
671,0
672,1
673,1
674,1
675,0
676,0
677,1
678,0
679,1
680,0
681,1
682,1
683,0
684,1
685,0
686,0
687,0
688,1
689,0
690,0
691,0
692,0
693,0
694,1
695,1
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,1
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,1
716,1
717,1
718,1
719,0
720,0
721,0
722,1
723,0
724,0
725,0
726,0
727,1
728,1
729,0
730,0
731,1
732,0
733,1
734,1
735,0
736,0
737,0
738,0
739,0
740,0
741,1
742,0
743,0
744,1
745,1
746,1
747,0
748,1
749,0
750,1
751,0
752,1
753,0
754,1
755,0
756,0
757,0
758,1
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,1
773,1
774,1
775,1
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,1
785,0
786,1
787,0
788,0
789,1
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,1
805,1
806,0
807,0
808,0
809,0
810,1
811,0
812,0
